FK_Article_Type	Article	Type	ArticleType	Oid
FK_ConfigurationPrintersType_DeletedWhere	ConfigurationPrintersType	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_ArticleStock_UpdatedWhere	ArticleStock	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_UserPermissionProfile_UserProfile	UserPermissionProfile	UserProfile	UserProfile	Oid
FK_DocumentFinanceYears_UpdatedWhere	DocumentFinanceYears	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_ConfigurationPrintersType_UpdatedBy	ConfigurationPrintersType	UpdatedBy	UserDetail	Oid
FK_ArticleSubFamily_CommissionGroup	ArticleSubFamily	CommissionGroup	UserCommissionGroup	Oid
FK_UserProfile_CreatedBy	UserProfile	CreatedBy	UserDetail	Oid
FK_DocumentFinanceYearSerieTerminal_CreatedBy	DocumentFinanceYearSerieTerminal	CreatedBy	UserDetail	Oid
FK_ConfigurationPrintersType_UpdatedWhere	ConfigurationPrintersType	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_ArticleSubFamily_CreatedBy	ArticleSubFamily	CreatedBy	UserDetail	Oid
FK_UserProfile_CreatedWhere	UserProfile	CreatedWhere	ConfigurationPlaceTerminal	Oid
